country,harvest_group,crop_year,crop_year_beg,crop_year_end,production_1k_bags,production_kg,production_lb
Tanzania,July,1991/92,1991,1992,789.977,47398620.0,104496069.89647184
Zambia,July,1991/92,1991,1992,29.138,1748280.0,3854297.637327918
Cameroon,October,1991/92,1991,1992,1725.948,103556880.0,228303840.29620582
Central African Republic,October,1991/92,1991,1992,124.781,7486860.0,16505700.922623891
Colombia,October,1991/92,1991,1992,17980.397,1078823820.0,2378399398.5626326
Costa Rica,October,1991/92,1991,1992,2759.619,165577140.0,365035108.5052245
Côte d'Ivoire,October,1991/92,1991,1992,4129.295,247757700.0,546212230.1575258
Democratic Republic of Congo,October,1991/92,1991,1992,1229.902,73794120.0,162688186.3115135
El Salvador,October,1991/92,1991,1992,2197.692,131861520.0,290704889.9435262
Equatorial Guinea,October,1991/92,1991,1992,2.551,153060.0,337439.538500361
Ethiopia,October,1991/92,1991,1992,2924.664,175479840.0,386866824.9426185
Gabon,October,1991/92,1991,1992,1.752,105120.0,231749.930008872
Ghana,October,1991/92,1991,1992,76.306,4578360.0,10093556.026973166
Guatemala,October,1991/92,1991,1992,3496.531,209791860.0,462511880.4359881
Guinea,October,1991/92,1991,1992,90.522,5431320.0,11974010.938506342
Guyana,October,1991/92,1991,1992,0.0,0.0,0.0
Honduras,October,1991/92,1991,1992,2321.808,139308480.0,307122626.42353827
India,October,1991/92,1991,1992,2999.749,179984940.0,396798870.31631494
Jamaica,October,1991/92,1991,1992,38.987,2339220.0,5157097.329483957
Kenya,October,1991/92,1991,1992,1514.047,90842820.0,200274136.0046476
Lao People's Democratic Republic,October,1991/92,1991,1992,0.0,0.0,0.0
Liberia,October,1991/92,1991,1992,3.0,180000.0,396832.071933
Mexico,October,1991/92,1991,1992,4727.206,283632360.0,625302317.144703
Nepal,October,1991/92,1991,1992,0.0,0.0,0.0
Nicaragua,October,1991/92,1991,1992,707.067,42424020.0,93528954.20181684
Nigeria,October,1991/92,1991,1992,44.313,2658780.0,5861606.534522343
Panama,October,1991/92,1991,1992,192.532,11551920.0,25467624.157801453
Sierra Leone,October,1991/92,1991,1992,54.379,3262740.0,7193110.413214869
Sri Lanka,October,1991/92,1991,1992,81.549,4892940.0,10787086.21135474
Thailand,October,1991/92,1991,1992,1468.936,88136160.0,194306972.1389911
Togo,October,1991/92,1991,1992,432.652,25959120.0,57230063.19531877
Trinidad & Tobago,October,1991/92,1991,1992,17.792,1067520.0,2353478.741277312
Uganda,October,1991/92,1991,1992,2088.001,125280060.00000001,276195254.34272534
Venezuela,October,1991/92,1991,1992,940.704,56442240.0,124433839.13188694
Viet Nam,October,1991/92,1991,1992,1437.848,86270880.0,190194733.65490672
Yemen,October,1991/92,1991,1992,0.0,0.0,0.0
Angola,April,1992/93,1992,1993,77.52,4651200.0,10254140.73874872
Bolivia (Plurinational State of),April,1992/93,1992,1993,120.235,7214100.0,15904368.056288086
Brazil,April,1992/93,1992,1993,34603.3542,2076201252.0000002,4577240247.672493
Burundi,April,1992/93,1992,1993,620.238,37214280.0,82043443.54386002
Ecuador,April,1992/93,1992,1993,1185.48,71128800.0,156812161.54504427
Indonesia,April,1992/93,1992,1993,5569.478,334168680.0,736715831.4417536
Madagascar,April,1992/93,1992,1993,1121.684,67301040.0,148373395.25803173
Malawi,April,1992/93,1992,1993,137.161,8229660.0,18143294.606134072
Papua New Guinea,April,1992/93,1992,1993,900.111,54006660.0,119064304.36656152
Paraguay,April,1992/93,1992,1993,54.291,3257460.0,7181470.005771501
Peru,April,1992/93,1992,1993,1761.953,105717180.0,233066486.54618838
Rwanda,April,1992/93,1992,1993,638.875,38332500.0,84508696.65206513
Timor-Leste,April,1992/93,1992,1993,0.0,0.0,0.0
Zimbabwe,April,1992/93,1992,1993,77.824,4669440.0,10294353.055371264
Congo,July,1992/93,1992,1993,3.171,190260.0,419451.500033181
Cuba,July,1992/93,1992,1993,284.237,17054220.0,37598119.21000671
Dominican Republic,July,1992/93,1992,1993,637.815,38268900.0,84368482.65331547
Haiti,July,1992/93,1992,1993,499.855,29991300.0,66119498.4386899
Philippines,July,1992/93,1992,1993,919.851,55191060.0,121675459.39988066
Tanzania,July,1992/93,1992,1993,786.434,47186040.0,104027411.21951897
Zambia,July,1992/93,1992,1993,29.307,1758420.0,3876652.510713477
Cameroon,October,1992/93,1992,1993,260.376,15622559.999999998,34441849.187208936
Central African Republic,October,1992/93,1992,1993,133.845,8030700.0,17704662.889290795
Colombia,October,1992/93,1992,1993,14946.878,896812680.0,1977133521.889925
Costa Rica,October,1992/93,1992,1993,2997.974,179878440.0,396564078.00708795
Côte d'Ivoire,October,1992/93,1992,1993,2245.536,134732160.0,297033567.8267137
Democratic Republic of Congo,October,1992/93,1992,1993,1180.157,70809420.0,156108049.17207783
El Salvador,October,1992/93,1992,1993,3001.301,180078060.0,397004164.77486163
Equatorial Guinea,October,1992/93,1992,1993,1.686,101160.0,223019.624426346
Ethiopia,October,1992/93,1992,1993,1825.171,109510260.0,241428796.52067518
Gabon,October,1992/93,1992,1993,3.063,183780.0,405165.545443593
Ghana,October,1992/93,1992,1993,36.602,2196120.0,4841615.832297222
Guatemala,October,1992/93,1992,1993,4318.483,259108980.0,571237518.8324792
Guinea,October,1992/93,1992,1993,76.341,4580460.0,10098185.734479051
Guyana,October,1992/93,1992,1993,0.0,0.0,0.0
Honduras,October,1992/93,1992,1993,1918.209,115092540.0,253735617.290176
India,October,1992/93,1992,1993,2823.497,169409820.0,373484721.5355366
Jamaica,October,1992/93,1992,1993,25.583,1534980.0,3384051.632087313
Kenya,October,1992/93,1992,1993,1315.548,78932880.0,174017212.85577142
Lao People's Democratic Republic,October,1992/93,1992,1993,0.0,0.0,0.0
Liberia,October,1992/93,1992,1993,3.0,180000.0,396832.071933
Mexico,October,1992/93,1992,1993,3400.811,204048660.0,449850291.7941792
Nepal,October,1992/93,1992,1993,0.0,0.0,0.0
Nicaragua,October,1992/93,1992,1993,547.294,32837640.0,72394603.99216643
Nigeria,October,1992/93,1992,1993,48.882,2932920.0,6465981.780076302
Panama,October,1992/93,1992,1993,196.978,11818680.0,26055729.28840616
Sierra Leone,October,1992/93,1992,1993,39.084,2345040.0,5169928.233143124
Sri Lanka,October,1992/93,1992,1993,53.181,3190860.0,7034642.139156291
Thailand,October,1992/93,1992,1993,1254.945,75296700.0,166000808.1706529
Togo,October,1992/93,1992,1993,85.648,5138880.0,11329291.098972527
Trinidad & Tobago,October,1992/93,1992,1993,14.328,859680.0,1895269.975552008
Uganda,October,1992/93,1992,1993,2185.074,131104440.0,289035814.248976
Venezuela,October,1992/93,1992,1993,1215.298,72917880.0,160756407.78534368
Viet Nam,October,1992/93,1992,1993,2340.447,140426820.0,309588144.086458
Yemen,October,1992/93,1992,1993,0.0,0.0,0.0
Angola,April,1993/94,1993,1994,32.608,1956479.9999999998,4313300.067197087
Bolivia (Plurinational State of),April,1993/94,1993,1994,50.823,3049380.0,6722732.130616953
Brazil,April,1993/94,1993,1994,28166.9786,1690018715.9999998,3725853492.64349
Burundi,April,1993/94,1993,1994,393.354,23601240.0,52031827.60771109
Ecuador,April,1993/94,1993,1994,2069.007,124140420.0,273682778.2179602
Indonesia,April,1993/94,1993,1994,6743.288,404597280.0,891984316.2269785
