country,calendar_year,exports_1k_bags,exports_kg,exports_lb
Uganda,1991.0,2095.093,125705579.99999999,277133365.3607749
Venezuela,1991.0,127.889,7673340.0,16916818.94914648
Viet Nam,1991.0,1200.952,72057120.0,158858756.81736007
Yemen,1991.0,71.6669969,4300019.814,9479920.95634763
Zambia,1991.0,29.198,1751880.0,3862234.278766578
Zimbabwe,1991.0,239.324,14359440.0,31657146.261097763
Angola,1992.0,80.25,4815000.0,10615257.92420775
Bolivia (Plurinational State of),1992.0,96.2040001,5772240.006,12725610.89597518
Brazil,1992.0,18790.7192021,1127443152.1260002,2485586678.0268507
Burundi,1992.0,645.858,38751480.0,85432389.43816784
Cameroon,1992.0,1645.851,98751060.0,217708820.80766666
Central African Republic,1992.0,99.975,5998500.0,13224428.797167225
Colombia,1992.0,16564.3700008,993862200.0480001,2191091089.2274313
Congo,1992.0,0.336,20160.0,44445.192056496
Costa Rica,1992.0,2431.3400009,145880400.05400002,321611230.0435764
Côte d'Ivoire,1992.0,4546.3679999,272782079.99399996,601381544.3900687
Cuba,1992.0,162.71,9762600.0,21522848.80807281
Democratic Republic of Congo,1992.0,954.229,57253740.0,126222890.38951822
Dominican Republic,1992.0,369.4670007,22168020.042000003,48872118.46621739
Ecuador,1992.0,1273.4350006,76406100.036,168446616.5866997
El Salvador,1992.0,2120.0920003,127205520.01799999,280440167.0558758
Equatorial Guinea,1992.0,2.766,165960.0,365879.170322226
Ethiopia,1992.0,734.461,44067660.0,97152560.12799437
Gabon,1992.0,1.007,60419.99999999999,133203.29881217697
Ghana,1992.0,32.245,1934699.9999999998,4265283.386493195
Guatemala,1992.0,3327.9880003,199679280.018,440217457.8424035
Guinea,1992.0,57.52,3451200.0,7608593.59252872
Guyana,1992.0,0.538998,32339.879999999997,71297.23103591437
Haiti,1992.0,165.976,9958560.0,21954866.657050535
Honduras,1992.0,1960.071,117604260.0,259273012.0219291
India,1992.0,1816.3410004,108980460.024,240260787.50853
Indonesia,1992.0,4603.6959999,276221759.994,608964740.7299938
Jamaica,1992.0,22.4269995,1345619.9700000002,2966584.226275119
Kenya,1992.0,1384.291,83057460.0,183110355.2294015
Lao People's Democratic Republic,1992.0,101.85,6111000.0,13472448.84212535
Liberia,1992.0,0.0,0.0,0.0
Madagascar,1992.0,736.406,44184360.0,97409839.58796427
Malawi,1992.0,128.022,7681319.999999999,16934411.83766884
Mexico,1992.0,3332.0409999,199922459.994,440753577.918674
Nepal,1992.0,0.0,0.0,0.0
Nicaragua,1992.0,635.946,38156760.0,84121256.2725012
Nigeria,1992.0,11.391,683460.0,1506771.377129601
Panama,1992.0,125.4040001,7524240.006,16588109.72945638
Papua New Guinea,1992.0,917.1739996,55030439.975999996,121321352.86144817
Paraguay,1992.0,40.3690006,2422140.036,5339904.716654173
Peru,1992.0,1061.043,63662580.0,140351964.0333354
Philippines,1992.0,41.3159998,2478959.988,5465171.268205805
Rwanda,1992.0,644.525,38671500.0,85256063.72087228
Sierra Leone,1992.0,47.02,2821200.0,6219681.34076322
Sri Lanka,1992.0,14.724,883440.0,1947651.809047164
Tanzania,1992.0,827.7859996,49667159.975999996,109497344.4461325
Thailand,1992.0,1163.7760006,69826560.03600001,153941213.86133277
Timor-Leste,1992.0,0.0,0.0,0.0
Togo,1992.0,313.177,18790620.0,41426225.930587046
Trinidad & Tobago,1992.0,2.451,147060.0,324211.802769261
Uganda,1992.0,1961.034,117662040.0,259400395.11701956
Venezuela,1992.0,135.818001,8149080.060000001,17965646.247542758
Viet Nam,1992.0,1937.611,116256660.0,256302062.57672402
Yemen,1992.0,36.9890016,2219340.0960000004,4892807.381220352
Zambia,1992.0,30.514,1830840.0,4036311.280987854
Zimbabwe,1992.0,162.318,9739080.0,21470996.084006898
Angola,1993.0,38.878,2332680.0,5142679.097537058
Bolivia (Plurinational State of),1993.0,47.319,2839140.0,6259232.270599209
Brazil,1993.0,17837.7479992,1070264879.9520001,2359530165.713754
Burundi,1993.0,417.609,25056540.0,55240214.9092894
Cameroon,1993.0,704.53,42271800.0,93193366.54631883
Central African Republic,1993.0,137.197,8231820.0,18148056.590997268
Colombia,1993.0,13568.3620035,814101720.21,1794787068.8619654
Congo,1993.0,0.504,30240.0,66667.788084744
Costa Rica,1993.0,2363.9200001,141835200.00599998,312693090.50784683
Côte d'Ivoire,1993.0,4033.1070005,241986420.03,533488735.77863395
Cuba,1993.0,116.195,6971700.0,15369967.532751646
Democratic Republic of Congo,1993.0,919.506,55170360.0,121629823.71160837
Dominican Republic,1993.0,331.4320003,19885920.018,43840949.12798256
Ecuador,1993.0,1598.6660008,95919960.048,211467313.808769
El Salvador,1993.0,2947.0709997,176824259.982,389830763.64820284
Equatorial Guinea,1993.0,2.463,147780.0,325799.131056993
Ethiopia,1993.0,1166.778,70006680.0,154338310.40861395
Gabon,1993.0,2.178,130680.0,288100.084223358
Ghana,1993.0,47.482,2848920.0,6280793.479840902
Guatemala,1993.0,3750.6870001,225041220.006,496130964.47395045
Guinea,1993.0,15.469,928140.0,2046198.440243859
Guyana,1993.0,0.0529992,3179.952,7010.594115597151
Haiti,1993.0,158.542,9512520.0,20971516.782800563
Honduras,1993.0,1705.317,102319020.0,225574826.13752258
India,1993.0,2101.5930003,126095580.01799999,277993168.2229796
Indonesia,1993.0,5662.0940006,339725640.036,748966831.2458357
Jamaica,1993.0,24.3539995,1461239.9700000002,3221482.6938134157
Kenya,1993.0,1438.7990001,86327940.006,190320529.4349372
Lao People's Democratic Republic,1993.0,141.6669996,8500019.976,18739336.325266495
Liberia,1993.0,0.0,0.0,0.0
Madagascar,1993.0,627.783,37666980.0,83041476.20477152
Malawi,1993.0,103.574,6214440.0,13700495.006129514
Mexico,1993.0,3263.6160007,195816960.042,431702499.85049075
Nepal,1993.0,0.0083167,499.00199999999995,1100.1110975483937
Nicaragua,1993.0,476.4660004,28587960.023999996,63025663.381453864
Nigeria,1993.0,10.304,618240.0,1362985.889732544
Panama,1993.0,129.286,7757160.0,17101610.417309947
Papua New Guinea,1993.0,1054.6339997,63278039.982,139504198.41064596
Paraguay,1993.0,58.4419998,3506519.988,7730553.28951399
Peru,1993.0,775.0,46500000.0,102514951.916025
Philippines,1993.0,34.7579998,2085479.988,4597696.358960266
Rwanda,1993.0,480.725,28843500.0,63589032.59333047
Sierra Leone,1993.0,40.986,2459160.0,5421519.766748646
Sri Lanka,1993.0,14.464,867840.0,1913259.696146304
Tanzania,1993.0,1037.2959986,62237759.916,137210773.44408277
Thailand,1993.0,981.7820003,58906920.01800001,129867528.45519142
Timor-Leste,1993.0,0.0,0.0,0.0
Togo,1993.0,218.284,13097040.0,28874030.663274325
Trinidad & Tobago,1993.0,9.7439996,584639.976,1288910.5167274412
Uganda,1993.0,1829.081,109744860.0,241946000.9877612
Venezuela,1993.0,525.0020004,31500120.024,69445877.19590056
Viet Nam,1993.0,2071.8369999,124310219.99400002,274057123.1259226
Yemen,1993.0,50.8530024,3051180.144,6726700.768801941
Zambia,1993.0,23.072,1384320.0,3051903.187879392
Zimbabwe,1993.0,69.828,4189680.0,9236663.306312509
Angola,1994.0,8.302,498120.0,1098166.620395922
Bolivia (Plurinational State of),1994.0,84.3210002,5059260.012,11153759.072276304
Brazil,1994.0,17273.1476003,1036388856.0179999,2284846317.010525
Burundi,1994.0,507.803,30468180.0,67170838.87459773
Cameroon,1994.0,545.889,32753340.0,72208754.30514447
Central African Republic,1994.0,136.676,8200560.0,18079140.087838236
Colombia,1994.0,11768.0890004,706085340.0239999,1556651713.5735595
Congo,1994.0,1.017,61019.99999999999,134526.072385287
Costa Rica,1994.0,2104.9679999,126298079.99400002,278439604.2509934
Côte d'Ivoire,1994.0,2443.9930001,146639580.00599998,323284935.33981055
Cuba,1994.0,135.7250001,8143500.005999998,17953344.334263206
Democratic Republic of Congo,1994.0,761.01,45660600.0,100664391.68724412
Dominican Republic,1994.0,332.3130004,19938780.024,43957485.49300129
Ecuador,1994.0,2145.2509996,128715059.97599998,283768132.9958691
El Salvador,1994.0,2092.9550001,125577300.00599998,276850556.3840717
Equatorial Guinea,1994.0,0.849,50940.0,112303.476357039
Ethiopia,1994.0,1475.325,88519500.0,195152092.1748511
Gabon,1994.0,5.039,302340.0,666545.603490129
Ghana,1994.0,10.815,648900.0,1430579.619318465
Guatemala,1994.0,3274.0689998,196444139.988,433085194.947413
Guinea,1994.0,50.4670001,3028020.006,6675641.404641973
Guyana,1994.0,0.4029972,24179.832000000002,53307.40461973254
Haiti,1994.0,103.468,6208080.0,13686473.606254548
Honduras,1994.0,1718.185,103091100.0,227276971.17140055
India,1994.0,2496.0849996,149765099.976,330175527.3707165
Indonesia,1994.0,4604.6299989,276277799.934,609088287.6494448
Jamaica,1994.0,15.8269995,949619.97,2093553.6680225183
Kenya,1994.0,1358.411,81504660.0,179687017.22219282
Lao People's Democratic Republic,1994.0,153.0,9180000.0,20238435.668583002
Liberia,1994.0,0.0,0.0,0.0
Madagascar,1994.0,435.621,26137260.0,57622794.66917513
Malawi,1994.0,78.469,4708140.0,10379671.95083686
Mexico,1994.0,2789.0460003,167342760.018,368927634.33849853
Nepal,1994.0,0.0,0.0,0.0
Nicaragua,1994.0,623.5139996,37410839.975999996,82476784.11349991
Nigeria,1994.0,7.873,472380.0,1041419.634109503
Panama,1994.0,76.486,4589160.0,10117365.951289145
Papua New Guinea,1994.0,1156.8369996,69410219.976,153023341.14667436
Paraguay,1994.0,48.36284,2901770.4,6397308.667254723
Peru,1994.0,1057.017,63421020.0,139819415.39280128
Philippines,1994.0,125.6699992,7540199.9520000005,16623295.387451485
Rwanda,1994.0,30.024,1801440.0,3971495.375905464
Sierra Leone,1994.0,61.924,3715440.0,8191143.074126364
Sri Lanka,1994.0,47.359,2841540.0,6264523.364891649
Tanzania,1994.0,632.137999,37928279.940000005,83617543.96358357
Thailand,1994.0,1136.0460002,68162760.012,150273162.69018775
Timor-Leste,1994.0,0.0,0.0,0.0
Togo,1994.0,165.795,9947700.0,21930924.455377243
Trinidad & Tobago,1994.0,5.3999985,323999.91,714297.531063364
Uganda,1994.0,3368.765,202125900.0,445611331.6017909
Venezuela,1994.0,385.9960001,23159760.006,51058530.8258445
Viet Nam,1994.0,2720.911,163254660.0,359914916.5584303
Yemen,1994.0,92.840004,5570400.239999999,12280630.381862668
Zambia,1994.0,23.954,1437240.0,3168571.817027694
Zimbabwe,1994.0,31.744,1904640.0,4199012.430480384
Angola,1995.0,40.559,2433540.0,5365037.335176849
Bolivia (Plurinational State of),1995.0,93.9580001,5637480.006,12428515.951454675
Brazil,1995.0,14468.4322014,868105932.084,1913845976.0345662
Burundi,1995.0,528.202,31692120.0,69869164.68638483
Cameroon,1995.0,407.269,24436140.0,53872467.03469366
Central African Republic,1995.0,231.542,13892520.0,30627763.866503563
Colombia,1995.0,9814.1969996,588851819.9760001,1298196043.2366335
Congo,1995.0,19.149,1148940.0,2532979.115148339
Costa Rica,1995.0,2067.0109998,124020659.98799999,273418752.58631194
Côte d'Ivoire,1995.0,2493.9459999,149636759.99400002,329892586.1431115
Cuba,1995.0,122.287,7337220.0,16175801.193490257
Democratic Republic of Congo,1995.0,1051.39,63083400.0,139075090.7032123
Dominican Republic,1995.0,451.0180003,27061080.018,59659469.179375805
Ecuador,1995.0,1539.9739994,92398439.96399999,203703690.96828347
El Salvador,1995.0,1807.4980001,108449880.00599998,239091058.79814556
Equatorial Guinea,1995.0,3.385,203100.0,447758.854497735
Ethiopia,1995.0,1276.118,76567080.0,168801516.6569987
Gabon,1995.0,2.946,176760.0,389689.094638206
Ghana,1995.0,38.152,2289120.0,5046645.736129272
Guatemala,1995.0,3700.8720009,222052320.054,489541568.0253248
Guinea,1995.0,151.5520001,9093120.006,20046898.068424407
Guyana,1995.0,0.0259992,1559.9520000000002,3439.105468200152
Haiti,1995.0,151.788,9107280.0,20078115.51152207
Honduras,1995.0,1795.963,107757780.0,237565239.4683355
India,1995.0,2467.2570006,148035420.03599998,326362235.8464323
Indonesia,1995.0,3946.5850006,236795100.03599998,522043834.28259933
Jamaica,1995.0,26.3230003,1579380.018,3481936.91618066
Kenya,1995.0,1450.0460001,87002760.00599998,191808252.872614
Lao People's Democratic Republic,1995.0,165.2329992,9913979.952,21856584.474746577
Liberia,1995.0,0.0,0.0,0.0
Madagascar,1995.0,585.1879998,35111279.988,77407122.14365399
Malawi,1995.0,91.633,5497980.0,12120971.082478862
