region,country,ico_member,calendar_year,re_exports_1k_bags,re_exports_kg,re_exports_lb
Asia & Oceania,Japan,member,1992.0,27.1839993,1631039.9579999999,3595827.5885480735
Europe,Norway,member,1992.0,2.6810001,160860.006,354635.60817852675
Europe,Russian Federation,member,1992.0,4.701,282060.0,621835.856719011
Europe,Switzerland,member,1992.0,155.3599985,9321599.91,20550610.033420924
Africa,Tunisia,member,1992.0,,,
Europe,United Kingdom,member,1992.0,570.1640013,34209840.078,75419787.32582957
North America,United States of America,member,1992.0,1376.5800158,82594800.948,182090366.61715862
Europe,Austria,member,1993.0,535.4880203,32129281.218,70832940.19698311
Europe,Belgium,member,1993.0,1234.4539509139108,74067237.05483465,163290306.34901503
Europe,Bulgaria,member,1993.0,70.4880001,4229280.005999999,9323966.375365501
Europe,Croatia,member,1993.0,30.8840013,1853040.078,4085254.0751534887
Europe,Cyprus,member,1993.0,1.8959997,113759.98199999999,250797.8297784488
Europe,Czechia,member,1993.0,65.8820013,3952920.078,8714697.026323868
Europe,Denmark,member,1993.0,103.3910034,6203460.204,13676288.699484617
Europe,Estonia,member,1993.0,6.9589992,417539.952,920518.0237053632
Europe,Finland,member,1993.0,197.5920068,11855520.408,26136948.485281143
Europe,France,member,1993.0,975.7880072,58547280.432,129074658.88818303
Europe,Germany,member,1993.0,3282.2700648,196936203.88799998,434170010.1527487
Europe,Greece,member,1993.0,226.8729995,13612379.97,30010160.819079828
Europe,Hungary,member,1993.0,111.2740025,6676440.149999999,14719030.988117605
Europe,Ireland,member,1993.0,3.2319996,193919.976,427520.3659182091
Europe,Italy,member,1993.0,664.4420229,39866521.374,87890634.87558694
Europe,Latvia,member,1993.0,18.3260017,1099560.102,2424115.0749528934
Europe,Lithuania,member,1993.0,0.3,18000.0,39683.2071933
Europe,Luxembourg,member,1993.0,39.369093986089275,2362145.6391653568,5207639.712208273
Europe,Malta,member,1993.0,0.8410007,50460.042,111245.35009270112
Europe,Netherlands,member,1993.0,425.2770066,25516620.395999998,56254518.558180705
Europe,Poland,member,1993.0,125.7826335,7546958.01,16638194.354998058
Europe,Portugal,member,1993.0,38.2700008,2296200.048,5062254.570113855
Europe,Romania,member,1993.0,5.7600001,345600.006,761917.5913390957
Europe,Slovakia,member,1993.0,12.7810003,766860.0179999999,1690636.943475098
Europe,Slovenia,member,1993.0,4.6300007,277800.042,612444.2569440801
Europe,Spain,member,1993.0,168.4769998,10108619.988,22285692.301229876
Europe,Sweden,member,1993.0,138.2070057,8292420.342,18281657.475862313
Asia & Oceania,Japan,member,1993.0,34.2839988,2057039.928,4534996.759317496
Europe,Norway,member,1993.0,2.5990004,155940.024,343788.9045622319
Europe,Russian Federation,member,1993.0,0.215,12900.0,28439.631821865
Europe,Switzerland,member,1993.0,166.086996,9965219.76,21969548.914602626
Africa,Tunisia,member,1993.0,,,
Europe,United Kingdom,member,1993.0,629.2929999,37757579.994,83241215.00108339
North America,United States of America,member,1993.0,1719.5840155,103175040.92999999,227462029.24457765
Europe,Austria,member,1994.0,380.9950083,22859700.498,50397012.84660651
Europe,Belgium,member,1994.0,1263.948319861469,75836899.19168814,167191743.52895364
Europe,Bulgaria,member,1994.0,109.9040006,6594240.036,14537810.757274559
Europe,Croatia,member,1994.0,29.5880012,1775280.0720000002,3913822.606850697
Europe,Cyprus,member,1994.0,1.467,88020.0,194050.883175237
Europe,Czechia,member,1994.0,45.0730028,2704380.1679999996,5962137.696455303
Europe,Denmark,member,1994.0,124.7010013,7482060.078,16495118.905999575
Europe,Estonia,member,1994.0,19.9340031,1196040.1860000002,2636817.250697282
Europe,Finland,member,1994.0,217.4950079,13049700.474,28769664.873347066
Europe,France,member,1994.0,1165.3900048,69923400.288,154154710.0715976
Europe,Germany,member,1994.0,3469.2700661,208156203.966,458905876.14186627
Europe,Greece,member,1994.0,145.8419994,8750519.964,19291594.265584446
Europe,Hungary,member,1994.0,47.2910018,2837460.108,6255528.742693745
Europe,Ireland,member,1994.0,3.4170004,205020.024,451991.78284262994
Europe,Italy,member,1994.0,786.1360291,47168161.74599999,103987996.41631138
Europe,Latvia,member,1994.0,16.9090012,1014540.0719999999,2236677.9935045275
Europe,Lithuania,member,1994.0,9.5770031,574620.186,1266820.6610272545
Europe,Luxembourg,member,1994.0,40.30972573853104,2418583.5443118624,5332063.994624084
Europe,Malta,member,1994.0,1.6210012,97260.072,214421.75493395978
Europe,Netherlands,member,1994.0,677.6750103,40660500.61800001,89641059.47818872
Europe,Poland,member,1994.0,100.4778114,6028668.683999999,13290939.360385068
Europe,Portugal,member,1994.0,52.0510004,3123060.0239999997,6885168.778305803
Europe,Romania,member,1994.0,0.4,24000.0,52910.9429244
Europe,Slovakia,member,1994.0,23.1379183,1388275.0979999998,3060622.6864018254
Europe,Slovenia,member,1994.0,7.0789989,424739.934,936391.266899476
Europe,Spain,member,1994.0,237.2369985,14234219.91,31381083.21797367
Europe,Sweden,member,1994.0,223.9190074,13435140.444,29619414.550574254
Asia & Oceania,Japan,member,1994.0,27.1189994,1627139.9640000002,3587229.573550595
Europe,Norway,member,1994.0,6.0180003,361080.018,796045.1759808052
Europe,Russian Federation,member,1994.0,13.524,811440.0,1788918.980273964
Europe,Switzerland,member,1994.0,196.0289979,11761739.874000002,25930197.798535574
Africa,Tunisia,member,1994.0,,,
Europe,United Kingdom,member,1994.0,817.1220002,49027320.012,108086738.78713442
North America,United States of America,member,1994.0,2572.1410225,154328461.35,340236017.0875134
Europe,Austria,member,1995.0,228.6660055,13719960.33,30247334.914402593
Europe,Belgium,member,1995.0,1287.4246112939718,77245476.6776383,170297125.31910798
Europe,Bulgaria,member,1995.0,122.0100008,7320600.0479999995,16139160.471336994
Europe,Croatia,member,1995.0,31.6510013,1899060.078,4186710.8082110253
Europe,Cyprus,member,1995.0,1.0910001,65460.006,144314.61005403675
Europe,Czechia,member,1995.0,41.7430019,2504580.114,5521653.977560052
Europe,Denmark,member,1995.0,119.3620039,7161720.234000001,15788890.439237278
Europe,Estonia,member,1995.0,24.6299981,1477799.886,3257991.059242951
Europe,Finland,member,1995.0,96.8210038,5809260.228,12807226.51486229
Europe,France,member,1995.0,1080.6650034,64839900.204,142947510.78823483
Europe,Germany,member,1995.0,3220.3840543,193223043.258,425983892.2292879
Europe,Greece,member,1995.0,139.2209998,8353259.988,18415785.93573926
Europe,Hungary,member,1995.0,72.0899988,4325399.928,9535874.529817162
Europe,Ireland,member,1995.0,8.0770006,484620.036,1068404.2943673613
Europe,Italy,member,1995.0,748.50203,44910121.800000004,99009870.47031885
Europe,Latvia,member,1995.0,15.3304876,919829.256,2027876.386017055
Europe,Lithuania,member,1995.0,45.3342247,2720053.482,5996691.439059062
Europe,Luxembourg,member,1995.0,41.058429506028226,2463505.7703616936,5431100.550397401
Europe,Malta,member,1995.0,1.445845,86750.7,191252.5556813228
Europe,Netherlands,member,1995.0,616.9450076,37016700.456,81607855.21154281
Europe,Poland,member,1995.0,134.0490125,8042940.750000001,17731649.123649206
Europe,Portugal,member,1995.0,73.9890037,4439340.222,9787069.879509801
Europe,Romania,member,1995.0,1.5670002,94020.01200000002,207278.6453618085
Europe,Slovakia,member,1995.0,27.0927342,1625564.052,3583755.2823053496
Europe,Slovenia,member,1995.0,8.0900001,485400.00599999994,1070123.8338737255
Europe,Spain,member,1995.0,397.1299996,23827799.976000004,52531306.856006496
Europe,Sweden,member,1995.0,216.600008,12996000.48,28651276.65178146
Asia & Oceania,Japan,member,1995.0,7.0789985,424739.91,936391.213988533
Europe,Norway,member,1995.0,4.9580003,297480.018,655831.1772311452
Europe,Russian Federation,member,1995.0,77.8520012,4671120.072,10298056.9801088
Europe,Switzerland,member,1995.0,174.7029984,10482179.904000001,23109250.942659862
Africa,Tunisia,member,1995.0,,,
Europe,United Kingdom,member,1995.0,632.916997,37975019.82000001,83720587.76037413
North America,United States of America,member,1995.0,1840.9860283,110459161.69800001,243520766.6699979
Europe,Austria,member,1996.0,162.6780051,9760680.306,21518616.60725338
Europe,Belgium,member,1996.0,1441.2231909720701,86473391.45832421,190641194.99711213
Europe,Bulgaria,member,1996.0,25.685,1541100.0,3397543.922533035
Europe,Croatia,member,1996.0,17.367,1042020.0,2297260.864420137
Europe,Cyprus,member,1996.0,0.7609999,45659.99399999999,100663.05568593525
Europe,Czechia,member,1996.0,50.3059996,3018359.9760000003,6654344.683976224
Europe,Denmark,member,1996.0,110.9852031,6659112.186000001,14680829.366692606
Europe,Estonia,member,1996.0,32.7039963,1962239.778,4325998.204072722
Europe,Finland,member,1996.0,171.6317068,10297902.408,22702988.606280386
Europe,France,member,1996.0,1182.424108,70945446.48,156407936.22705647
