country,harvest_group,crop_year,crop_year_beg,crop_year_end,exports_1k_bags,exports_kg,exports_lb
Kenya,October,1996/97,1996,1997,1389.327,83359620.0,183776504.0008197
Lao People's Democratic Republic,October,1996/97,1996,1997,118.604,7116240.0,15688623.686513845
Liberia,October,1996/97,1996,1997,0.0,0.0,0.0
Mexico,October,1996/97,1996,1997,4383.551,263013060.0,579844541.9179914
Nepal,October,1996/97,1996,1997,0.1375,8250.0,18188.1366302625
Nicaragua,October,1996/97,1996,1997,701.911,42114660.0,92846932.14752132
Nigeria,October,1996/97,1996,1997,5.975,358500.0,790357.209933225
Panama,October,1996/97,1996,1997,118.428,7105680.0,15665342.871627107
Sierra Leone,October,1996/97,1996,1997,32.91,1974600.0,4353247.82910501
Sri Lanka,October,1996/97,1996,1997,19.999,1199940.0,2645414.868862689
Thailand,October,1996/97,1996,1997,1103.414,66204840.0,145956687.93995976
Togo,October,1996/97,1996,1997,290.119,17407140.0,38376174.62571001
Trinidad & Tobago,October,1996/97,1996,1997,4.188,251280.0,553977.572418468
Uganda,October,1996/97,1996,1997,4237.014,254220840.0,560461014.8097093
Venezuela,October,1996/97,1996,1997,183.982,11038920.0,24336652.752792403
Viet Nam,October,1996/97,1996,1997,5421.965,325317900.0,717203201.6327361
Yemen,October,1996/97,1996,1997,70.3435,4220610.0,9304852.28400633
Angola,April,1997/98,1997,1998,54.33,3259800.0,7186628.82270663
Bolivia (Plurinational State of),April,1997/98,1997,1998,109.219,6553140.0,14447200.68815011
Brazil,April,1997/98,1997,1998,15352.004,921120240.0,2030722518.5479012
Burundi,April,1997/98,1997,1998,546.034,32762040.0,72227934.52195458
Ecuador,April,1997/98,1997,1998,1110.663,66639780.0,146915566.5031072
Indonesia,April,1997/98,1997,1998,5508.527,330511620.0,728653394.2362909
Madagascar,April,1997/98,1997,1998,433.471,26008260.0,57338398.350956485
Malawi,April,1997/98,1997,1998,57.82,3469200.0,7648276.7997220205
Papua New Guinea,April,1997/98,1997,1998,1078.721,64723260.0,142690363.15587923
Paraguay,April,1997/98,1997,1998,34.3411,2060466.0,4542549.955152782
Peru,April,1997/98,1997,1998,1709.959,102597540.0,226188857.63016024
Rwanda,April,1997/98,1997,1998,203.659,12219540.0,26939474.312600948
Timor-Leste,April,1997/98,1997,1998,0.0,0.0,0.0
Zimbabwe,April,1997/98,1997,1998,126.193,7571580.0,16692476.551147023
Congo,July,1997/98,1997,1998,0.27,16200.0,35714.88647397
Cuba,July,1997/98,1997,1998,112.221,6733260.0,14844297.314797731
Dominican Republic,July,1997/98,1997,1998,405.242,24314520.0,53604340.831424266
Haiti,July,1997/98,1997,1998,104.818,6289080.0,13865048.038624398
Philippines,July,1997/98,1997,1998,37.472,2248320.0,4956697.1331577925
Tanzania,July,1997/98,1997,1998,606.069,36364140.0,80169205.66812046
Zambia,July,1997/98,1997,1998,37.862,2271720.0,5008285.3025090825
Cameroon,October,1997/98,1997,1998,787.093,47225580.0,104114581.99798693
Central African Republic,October,1997/98,1997,1998,106.738,6404280.0,14119020.564661518
Colombia,October,1997/98,1997,1998,10911.455,654687300.0,1443338431.8178976
Costa Rica,October,1997/98,1997,1998,2157.6,129456000.0,285401626.1342136
Côte d'Ivoire,October,1997/98,1997,1998,5049.004,302940240.0,667868906.1726682
Democratic Republic of Congo,October,1997/98,1997,1998,600.687,36041220.0,79457288.93107265
El Salvador,October,1997/98,1997,1998,1884.978,113098680.0,249339908.42937416
Equatorial Guinea,October,1997/98,1997,1998,1.669,100140.0,220770.909352059
Ethiopia,October,1997/98,1997,1998,2089.864,125391840.0,276441687.05939573
Gabon,October,1997/98,1997,1998,1.515,90900.0,200400.196326165
Ghana,October,1997/98,1997,1998,17.5,1050000.0,2314853.7529425
Guatemala,October,1997/98,1997,1998,3890.373,233422380.0,514608259.394067
Guinea,October,1997/98,1997,1998,121.711,7302660.0,16099609.435679121
Guyana,October,1997/98,1997,1998,0.252,15120.0,33333.894042372
Honduras,October,1997/98,1997,1998,2299.194,137951640.0,304131306.2653073
India,October,1997/98,1997,1998,3684.756,221085360.0,487409786.01585114
Jamaica,October,1997/98,1997,1998,20.481,1228860.0,2709172.555086591
Kenya,October,1997/98,1997,1998,805.965,48357900.0,106610920.28516011
Lao People's Democratic Republic,October,1997/98,1997,1998,111.2867,6677202.0,14720710.579862064
Liberia,October,1997/98,1997,1998,0.0,0.0,0.0
Mexico,October,1997/98,1997,1998,3882.561,232953660.0,513574908.6787535
Nepal,October,1997/98,1997,1998,0.075,4500.0,9920.801798325
Nicaragua,October,1997/98,1997,1998,956.281,57376860.0,126494323.52672039
Nigeria,October,1997/98,1997,1998,4.667,280020.0,617338.426570437
Panama,October,1997/98,1997,1998,141.854,8511240.0,18764072.243994594
Sierra Leone,October,1997/98,1997,1998,44.679,2680740.0,5910020.047298169
Sri Lanka,October,1997/98,1997,1998,19.584,1175040.0,2590519.765578624
Thailand,October,1997/98,1997,1998,784.976,47098560.0,103834550.83255954
Togo,October,1997/98,1997,1998,177.526,10651560.0,23482670.133992586
Trinidad & Tobago,October,1997/98,1997,1998,4.642,278520.0,614031.492637662
Uganda,October,1997/98,1997,1998,3032.338,181940280.0,401109657.1137231
Venezuela,October,1997/98,1997,1998,79.675,4780500.0,10539198.443753924
Viet Nam,October,1997/98,1997,1998,6614.884,396893040.0,874999374.4388169
Yemen,October,1997/98,1997,1998,73.0405,4382430.0,9661604.316674097
Angola,April,1998/99,1998,1999,55.344,3320640.0,7320758.063019984
Bolivia (Plurinational State of),April,1998/99,1998,1999,100.985,6059100.0,13358028.928051336
Brazil,April,1998/99,1998,1999,21084.8533,1265091197.9999998,2789048673.814117
Burundi,April,1998/99,1998,1999,391.85,23511000.0,51832882.46231535
Ecuador,April,1998/99,1998,1999,965.968,57958080.0,127775694.28699204
Indonesia,April,1998/99,1998,1999,5719.239,343154340.0,756525820.7500063
Madagascar,April,1998/99,1998,1999,822.666,49359960.0,108820084.42961113
Malawi,April,1998/99,1998,1999,62.321,3739260.0,8243657.184978831
Papua New Guinea,April,1998/99,1998,1999,1341.785,80507100.0,177487773.87954015
Paraguay,April,1998/99,1998,1999,15.7401,944406.0,2082058.8318108711
Peru,April,1998/99,1998,1999,1912.298,114737880.0,252953725.8311107
Rwanda,April,1998/99,1998,1999,219.221,13153260.0,28997974.54707473
Timor-Leste,April,1998/99,1998,1999,0.0,0.0,0.0
Zimbabwe,April,1998/99,1998,1999,135.45,8127000.0,17916968.047774952
Congo,July,1998/99,1998,1999,0.0,0.0,0.0
Cuba,July,1998/99,1998,1999,103.953,6237180.0,13750628.124550384
Dominican Republic,July,1998/99,1998,1999,152.297,9137820.0,20145444.68639337
Haiti,July,1998/99,1998,1999,112.247,6734820.0,14847736.526087817
Philippines,July,1998/99,1998,1999,10.729,643740.0,1419203.766589719
Tanzania,July,1998/99,1998,1999,725.024,43501440.0,95904258.70705046
Zambia,July,1998/99,1998,1999,61.086,3665160.0,8080294.6486997465
Cameroon,October,1998/99,1998,1999,1027.273,61636379.99999999,135884957.67694288
Central African Republic,October,1998/99,1998,1999,194.084,11645040.0,25672918.616348125
Colombia,October,1998/99,1998,1999,10292.094,617525640.0,1361410995.5163991
Costa Rica,October,1998/99,1998,1999,2092.12,125527200.0,276740104.7774893
Côte d'Ivoire,October,1998/99,1998,1999,2264.047,135842820.0,299482153.98789763
Democratic Republic of Congo,October,1998/99,1998,1999,542.294,32537640.0,71733217.20561144
El Salvador,October,1998/99,1998,1999,1811.663,108699780.0,239641993.97811818
Equatorial Guinea,October,1998/99,1998,1999,1.036,62160.0,137039.342174196
Ethiopia,October,1998/99,1998,1999,1756.725,105403500.0,232374940.5221665
Gabon,October,1998/99,1998,1999,2.75,165000.0,363762.73260525
Ghana,October,1998/99,1998,1999,87.218,5233080.0,11536966.549950799
Guatemala,October,1998/99,1998,1999,4592.964,275577840.0,607545140.1445599
Guinea,October,1998/99,1998,1999,355.266,21315960.0,46993647.622449726
Guyana,October,1998/99,1998,1999,1.1141,66846.00000000001,147370.20378018514
Honduras,October,1998/99,1998,1999,2086.259,125175540.0,275964827.18628955
India,October,1998/99,1998,1999,3426.768,205606080.0,453283815.15790087
Jamaica,October,1998/99,1998,1999,21.312,1278720.0,2819095.039012032
Kenya,October,1998/99,1998,1999,1096.098,65765880.0,144988946.79387248
Lao People's Democratic Republic,October,1998/99,1998,1999,171.424,10285440.0,22675513.699680865
Liberia,October,1998/99,1998,1999,12.779,766740.0,1690372.349077269
Mexico,October,1998/99,1998,1999,4136.348,248180880.0,547145182.3586402
Nepal,October,1998/99,1998,1999,0.0083,498.00000000000006,1097.9020656813002
Nicaragua,October,1998/99,1998,1999,954.82,57289200.0,126301066.30768903
Nigeria,October,1998/99,1998,1999,13.405,804300.0,1773177.974753955
Panama,October,1998/99,1998,1999,146.996,8819760.0,19444242.415287755
Sierra Leone,October,1998/99,1998,1999,21.882,1312920.0,2894493.1326793022
Sri Lanka,October,1998/99,1998,1999,26.738,1604280.0,3536831.979781518
Thailand,October,1998/99,1998,1999,417.336,25040160.0,55204103.1907435
Togo,October,1998/99,1998,1999,310.176,18610560.0,41029261.581296735
Trinidad & Tobago,October,1998/99,1998,1999,3.768,226080.0,498421.082347848
Uganda,October,1998/99,1998,1999,3647.669,218860140.0,482504015.66525805
Venezuela,October,1998/99,1998,1999,582.439,34946340.0,77043491.71486153
Viet Nam,October,1998/99,1998,1999,6687.203,401232180.0,884565540.6421912
Yemen,October,1998/99,1998,1999,68.7007,4122042.0,9087547.041415818
Angola,April,1999/00,1999,2000,39.939,2396340.0,5283025.373644029
Bolivia (Plurinational State of),April,1999/00,1999,2000,122.702,7362120.0,16230696.296774322
Brazil,April,1999/00,1999,2000,21185.8065,1271148390.0,2802402496.3222065
Burundi,April,1999/00,1999,2000,437.799,26267940.0,57910894.75339849
Ecuador,April,1999/00,1999,2000,982.6832,58960992.00000001,129986736.76991689
Indonesia,April,1999/00,1999,2000,4845.9492,290756952.0,641009353.8393546
Madagascar,April,1999/00,1999,2000,404.017,24241020.0,53442301.068718284
Malawi,April,1999/00,1999,2000,52.0,3120000.0,6878422.580172
Papua New Guinea,April,1999/00,1999,2000,1327.7729,79666374.0,175634290.32116267
Paraguay,April,1999/00,1999,2000,1.9727,118361.99999999999,260943.54276740967
Peru,April,1999/00,1999,2000,2474.384,148463040.0,327304976.4926214
Rwanda,April,1999/00,1999,2000,306.871,18412260.0,40592084.91538388
Timor-Leste,April,1999/00,1999,2000,0.0,0.0,0.0
Zimbabwe,April,1999/00,1999,2000,121.4843,7289058.0,16069622.158776717
Congo,July,1999/00,1999,2000,0.0,0.0,0.0
Cuba,July,1999/00,1999,2000,117.9874,7079244.0,15607061.467995882
Dominican Republic,July,1999/00,1999,2000,198.555,11913300.0,26264330.680885606
Haiti,July,1999/00,1999,2000,62.027,3721620.0,8204767.641929397
Philippines,July,1999/00,1999,2000,3.7634,225803.99999999997,497812.6065042173
Tanzania,July,1999/00,1999,2000,758.9981,45539886.0,100398262.8720701
Zambia,July,1999/00,1999,2000,58.125,3487500.0,7688621.393701875
Cameroon,October,1999/00,1999,2000,1272.324,76339440.0,168299656.36336076
Central African Republic,October,1999/00,1999,2000,187.74,11264400.0,24833751.06156714
Colombia,October,1999/00,1999,2000,9035.7709,542146254.0,1195227895.919636
Costa Rica,October,1999/00,1999,2000,1984.33,119059800.0,262481928.43293664
Côte d'Ivoire,October,1999/00,1999,2000,5833.7898,350027388.0,771678297.8518672
Democratic Republic of Congo,October,1999/00,1999,2000,352.677,21160620.0,46651181.544371545
El Salvador,October,1999/00,1999,2000,2490.4749,149428494.00000003,329433438.2213771
Equatorial Guinea,October,1999/00,1999,2000,0.179,10740.0,23677.646958669
Ethiopia,October,1999/00,1999,2000,2005.051,120303060.0,265222847.55377787
Gabon,October,1999/00,1999,2000,0.334,20040.0,44180.637341874
Ghana,October,1999/00,1999,2000,80.1191,4807146.0,10597942.81813574
Guatemala,October,1999/00,1999,2000,4900.7988,294047928.0,648264713.97692
Guinea,October,1999/00,1999,2000,279.707,16782420.0,36998902.78138788
Guyana,October,1999/00,1999,2000,0.7376,44256.0,97567.7787525936
Honduras,October,1999/00,1999,2000,2856.9,171414000.0,377903182.1017959
India,October,1999/00,1999,2000,4296.5892,257795352.0,568341464.8269837
Jamaica,October,1999/00,1999,2000,29.5485,1772910.0,3908597.4925040836
Kenya,October,1999/00,1999,2000,1195.729,71743740.0,158167872.18012473
Lao People's Democratic Republic,October,1999/00,1999,2000,238.772,14326320.0,31584129.159862094
Liberia,October,1999/00,1999,2000,7.163,429780.0,947502.710418693
Mexico,October,1999/00,1999,2000,5163.6765,309820590.0,683037481.428914
Nepal,October,1999/00,1999,2000,0.1,6000.0,13227.7357311
Nicaragua,October,1999/00,1999,2000,1324.3318,79459907.99999999,175179110.70691976
Nigeria,October,1999/00,1999,2000,5.067,304020.0,670249.369494837
Panama,October,1999/00,1999,2000,77.604,4656240.0,10265252.036762845
Sierra Leone,October,1999/00,1999,2000,47.02,2821200.0,6219681.34076322
Sri Lanka,October,1999/00,1999,2000,2.716,162960.0,359265.302456676
Thailand,October,1999/00,1999,2000,961.7208,57703248.0,127213885.89502077
Togo,October,1999/00,1999,2000,279.091,16745460.0,36917419.929284304
Trinidad & Tobago,October,1999/00,1999,2000,2.89,173400.0,382281.56262879
Uganda,October,1999/00,1999,2000,2917.257,175035420.0,385887046.55701596
Venezuela,October,1999/00,1999,2000,112.895,6773700.0,14933452.253625344
Viet Nam,October,1999/00,1999,2000,10897.2468,653834808.0,1441459008.6697514
Yemen,October,1999/00,1999,2000,60.579,3634740.0,8013230.028543069
Angola,April,2000/01,2000,2001,19.785,1187100.0,2617107.5143981352
Bolivia (Plurinational State of),April,2000/01,2000,2001,112.604,6756240.0,14894959.542647844
Brazil,April,2000/01,2000,2001,18577.353,1114641180.0,2457363160.673578
Burundi,April,2000/01,2000,2001,407.185,24431100.0,53861355.73667954
Ecuador,April,2000/01,2000,2001,701.817,42109020.0,92834498.07593408
Indonesia,April,2000/01,2000,2001,5614.1737,336850422.0,742628060.520919
Madagascar,April,2000/01,2000,2001,201.253,12075180.0,26621214.990910683
Malawi,April,2000/01,2000,2001,68.138,4088280.0,9013114.572456919
Papua New Guinea,April,2000/01,2000,2001,1050.0552,63003312.0,138898526.88667357
Paraguay,April,2000/01,2000,2001,4.6077,276462.00000000006,609494.3792818949
Peru,April,2000/01,2000,2001,2418.58,145114800.0,319923370.8452384
Rwanda,April,2000/01,2000,2001,272.073,16324380.0,35989097.4356757
Timor-Leste,April,2000/01,2000,2001,7.1279,427674.00000000006,942859.775177077
Zimbabwe,April,2000/01,2000,2001,104.523,6271380.0,13826026.218217652
Congo,July,2000/01,2000,2001,0.0,0.0,0.0
Cuba,July,2000/01,2000,2001,96.0345,5762070.0,12703189.87068323
Dominican Republic,July,2000/01,2000,2001,124.372,7462320.0,16451599.483483693
Haiti,July,2000/01,2000,2001,82.85,4971000.0,10959179.05321635
Philippines,July,2000/01,2000,2001,2.9218,175308.0,386487.9825912798
Tanzania,July,2000/01,2000,2001,816.0904,48965424.0,107950281.43887691
Zambia,July,2000/01,2000,2001,92.774,5566440.0,12271899.547170714
Cameroon,October,2000/01,2000,2001,1144.81,68688600.0,151432441.4232059
Central African Republic,October,2000/01,2000,2001,104.267,6256020.0,13792163.214746037
Colombia,October,2000/01,2000,2001,9436.887,566213220.0,1248286473.602531
Costa Rica,October,2000/01,2000,2001,2110.536,126632160.0,279176124.5897287
Côte d'Ivoire,October,2000/01,2000,2001,4269.833,256189980.0,564802225.399299
Democratic Republic of Congo,October,2000/01,2000,2001,151.342,9080520.0,20019119.810161363
El Salvador,October,2000/01,2000,2001,1714.5498,102872988.0,226796116.52210358
Equatorial Guinea,October,2000/01,2000,2001,0.0,0.0,0.0
Ethiopia,October,2000/01,2000,2001,1418.149,85088940.0,187589001.99323735
Gabon,October,2000/01,2000,2001,2.002,120119.99999999999,264819.269336622
Ghana,October,2000/01,2000,2001,72.456,4347360.0,9584288.201325815
Guatemala,October,2000/01,2000,2001,4414.083,264844980.0,583883234.1914108
Guinea,October,2000/01,2000,2001,349.992,20999520.0,46296016.83999151
Guyana,October,2000/01,2000,2001,0.9888,59328.00000000001,130795.85090911682
Honduras,October,2000/01,2000,2001,2469.718,148183080.0,326687770.3434083
India,October,2000/01,2000,2001,3704.7666,222285996.0,490056735.30205864
Jamaica,October,2000/01,2000,2001,28.8334,1730004.0,3814005.9542909875
Kenya,October,2000/01,2000,2001,1233.4641,74007845.99999999,163159371.485991
Lao People's Democratic Republic,October,2000/01,2000,2001,212.185,12731100.0,28067271.061034534
Liberia,October,2000/01,2000,2001,7.305,438300.0,966286.0951568551
Mexico,October,2000/01,2000,2001,3636.9789,218218734.0,481089957.4878677
Nepal,October,2000/01,2000,2001,0.1334,8003.999999999998,17645.799465287397
Nicaragua,October,2000/01,2000,2001,1444.9036,86694216.0,191128029.7771502
Nigeria,October,2000/01,2000,2001,9.431,565860.0,1247507.756800041
Panama,October,2000/01,2000,2001,70.003,4200180.0,9259811.843841933
Sierra Leone,October,2000/01,2000,2001,34.155,2049300.0,4517933.138957205
Sri Lanka,October,2000/01,2000,2001,4.28,256800.0,566147.08929108
Thailand,October,2000/01,2000,2001,1184.4012,71064072.0,156669460.73197716
Togo,October,2000/01,2000,2001,194.814,11688840.0,25769481.087185156
Trinidad & Tobago,October,2000/01,2000,2001,2.393,143580.0,316539.716045223
Uganda,October,2000/01,2000,2001,3075.093,184505580.0,406765175.52555496
Venezuela,October,2000/01,2000,2001,25.934,1556040.0,3430480.984503474
Viet Nam,October,2000/01,2000,2001,14606.351,876381060.0,1932089510.2368822
Yemen,October,2000/01,2000,2001,63.936,3836160.0,8457285.117036097
Angola,April,2001/02,2001,2002,10.69,641400.0,1414044.94965459
Bolivia (Plurinational State of),April,2001/02,2001,2002,63.516,3810960.0,8401728.626965476
Brazil,April,2001/02,2001,2002,23767.0955,1426025730.0,3143848583.69816
Burundi,April,2001/02,2001,2002,216.549,12992940.0,28644529.448339738
Ecuador,April,2001/02,2001,2002,712.847,42770820.0,94293517.32707442
Indonesia,April,2001/02,2001,2002,5173.14,310388400.0,684289288.1998266
Madagascar,April,2001/02,2001,2002,74.441,4466460.0,9846858.755588152
Malawi,April,2001/02,2001,2002,59.39,3563400.0,7855952.25070029
Papua New Guinea,April,2001/02,2001,2002,1073.166,64389960.0,141955562.43601662
Paraguay,April,2001/02,2001,2002,4.1635,249810.0,550736.7771643485
Peru,April,2001/02,2001,2002,2638.108,158286480.0,348961954.5410076
Rwanda,April,2001/02,2001,2002,293.51,17610600.0,38824727.14435161
Timor-Leste,April,2001/02,2001,2002,32.8539,1971234.0,4345827.069359863
Zimbabwe,April,2001/02,2001,2002,117.042,7022520.0,15482006.454394063
Congo,July,2001/02,2001,2002,0.0,0.0,0.0
Cuba,July,2001/02,2001,2002,91.974,5518440.0,12166077.661321914
Dominican Republic,July,2001/02,2001,2002,90.136,5408160.0,11922951.878584296
Haiti,July,2001/02,2001,2002,62.64,3758400.0,8285853.66196104
Philippines,July,2001/02,2001,2002,5.682,340920.0,751599.944241102
Tanzania,July,2001/02,2001,2002,657.422,39445320.0,86962044.79811224
Zambia,July,2001/02,2001,2002,99.072,5944320.0,13104982.343515392
Cameroon,October,2001/02,2001,2002,616.51,36990600.0,81550313.55580461
Central African Republic,October,2001/02,2001,2002,100.26,6015600.0,13262127.84400086
Colombia,October,2001/02,2001,2002,10625.441,637526460.0,1405505255.7439492
Costa Rica,October,2001/02,2001,2002,1880.7,112842000.0,248774025.8947977
Côte d'Ivoire,October,2001/02,2001,2002,3388.164,203289840.0,448177380.056267
Democratic Republic of Congo,October,2001/02,2001,2002,164.53,9871800.0,21763593.59837883
El Salvador,October,2001/02,2001,2002,1472.566,88353960.0,194787138.94603002
Equatorial Guinea,October,2001/02,2001,2002,0.0,0.0,0.0
Ethiopia,October,2001/02,2001,2002,1939.24,116354400.0,256517542.39178365
Gabon,October,2001/02,2001,2002,0.522,31320.0,69048.780516342
Ghana,October,2001/02,2001,2002,12.285,737100.0,1625027.334565635
Guatemala,October,2001/02,2001,2002,3329.96,199797600.0,440478308.7513376
Guinea,October,2001/02,2001,2002,182.979,10978740.0,24203978.56340947
Guyana,October,2001/02,2001,2002,1.0893,65358.0,144089.7253188723
Honduras,October,2001/02,2001,2002,2617.049,157022940.0,346176325.6733952
India,October,2001/02,2001,2002,3441.313,206478780.0,455207789.3199893
Jamaica,October,2001/02,2001,2002,27.793,1667580.0,3676384.591744623
Kenya,October,2001/02,2001,2002,793.244,47594640.0,104928220.02280688
Lao People's Democratic Republic,October,2001/02,2001,2002,258.1452,15488711.999999998,34146764.858519554
Liberia,October,2001/02,2001,2002,6.833,409980.0,903851.182506063
Mexico,October,2001/02,2001,2002,2893.404,173604240.0,382731834.7530767
Nepal,October,2001/02,2001,2002,0.2084,12504.0,27566.6012636124
Nicaragua,October,2001/02,2001,2002,920.141,55208460.0,121713819.83350085
Nigeria,October,2001/02,2001,2002,4.003,240180.0,529506.261315933
Panama,October,2001/02,2001,2002,77.939,4676340.0,10309564.951462029
Sierra Leone,October,2001/02,2001,2002,74.2,4452000.0,9814979.9124762
Sri Lanka,October,2001/02,2001,2002,2.531,151860.0,334793.991354141
Thailand,October,2001/02,2001,2002,259.8,15588000.0,34365657.4293978
Togo,October,2001/02,2001,2002,113.584,6815040.0,15024591.352812624
Trinidad & Tobago,October,2001/02,2001,2002,2.165,129900.0,286380.478578315
Uganda,October,2001/02,2001,2002,3153.157,189189420.0,417091275.14668083
Venezuela,October,2001/02,2001,2002,130.543,7832580.0,17267883.055449873
Viet Nam,October,2001/02,2001,2002,11965.712,717942720.0,1582792761.7045205
Yemen,October,2001/02,2001,2002,62.2185,3733110.0,8230098.755854454
Angola,April,2002/03,2002,2003,11.64,698400.0,1539708.4391000401
Bolivia (Plurinational State of),April,2002/03,2002,2003,89.168,5350080.0,11794907.396707248
Brazil,April,2002/03,2002,2003,29612.634,1776758040.0,3917080968.537867
Burundi,April,2002/03,2002,2003,431.055,25863300.0,57018816.25569311
Ecuador,April,2002/03,2002,2003,585.224,35113440.0,77411884.15497266
Indonesia,April,2002/03,2002,2003,4280.458,256827480.0,566207672.3207284
Madagascar,April,2002/03,2002,2003,194.287,11657220.0,25699770.919882257
Malawi,April,2002/03,2002,2003,43.464,2607840.0,5749303.058165304
Papua New Guinea,April,2002/03,2002,2003,1076.492,64589520.0,142395516.92643303
Paraguay,April,2002/03,2002,2003,19.5806,1174836.0000000002,2590070.022563767
Peru,April,2002/03,2002,2003,2838.32,170299200.0,375445468.80295753
Rwanda,April,2002/03,2002,2003,308.422,18505320.0,40797247.09657324
Timor-Leste,April,2002/03,2002,2003,36.8093,2208558.0,4869036.928467792
Zimbabwe,April,2002/03,2002,2003,106.121,6367260.0,14037405.435200632
Congo,July,2002/03,2002,2003,0.0,0.0,0.0
Cuba,July,2002/03,2002,2003,57.705,3462300.0,7633064.903631255
Dominican Republic,July,2002/03,2002,2003,150.681,9040860.0,19931684.47697879
Haiti,July,2002/03,2002,2003,36.945,2216700.0,4886986.965854895
Philippines,July,2002/03,2002,2003,8.21,492600.0,1085997.10352331
Tanzania,July,2002/03,2002,2003,819.51,49170600.0,108402617.08993761
Zambia,July,2002/03,2002,2003,118.327,7099620.0,15651982.858538697
Cameroon,October,2002/03,2002,2003,731.795,43907700.0,96799908.69340324
Central African Republic,October,2002/03,2002,2003,37.874,2272440.0,5009872.630796814
Colombia,October,2002/03,2002,2003,10478.253,628695180.0,1386035616.0760577
Costa Rica,October,2002/03,2002,2003,1676.413,100584780.0,221751481.40180543
Côte d'Ivoire,October,2002/03,2002,2003,2608.386,156503160.0,345030406.92701006
Democratic Republic of Congo,October,2002/03,2002,2003,194.592,11675520.0,25740115.51386211
El Salvador,October,2002/03,2002,2003,1320.276,79216560.0,174642620.20113784
Equatorial Guinea,October,2002/03,2002,2003,0.0,0.0,0.0
Ethiopia,October,2002/03,2002,2003,2276.902,136614120.0,301182579.41613054
Gabon,October,2002/03,2002,2003,0.95,57000.0,125663.48944545
Ghana,October,2002/03,2002,2003,37.6323,2257938.0,4977901.193534745
Guatemala,October,2002/03,2002,2003,3964.953,237897180.0,524473504.7023214
Guinea,October,2002/03,2002,2003,278.229,16693740.0,36803396.847282216
Guyana,October,2002/03,2002,2003,0.8513,51078.0,112607.7142788543
Honduras,October,2002/03,2002,2003,2438.716,146322960.0,322586907.7120527
India,October,2002/03,2002,2003,3566.889,214013340.0,471818650.7416755
Jamaica,October,2002/03,2002,2003,24.943,1496580.0,3299394.123408273
Kenya,October,2002/03,2002,2003,877.889,52673340.0,116124836.93239649
Lao People's Democratic Republic,October,2002/03,2002,2003,244.0043,14640258.0,32276243.976520438
Liberia,October,2002/03,2002,2003,7.482,448920.0,989699.187400902
Mexico,October,2002/03,2002,2003,2562.426,153745560.0,338950939.58499646
Nepal,October,2002/03,2002,2003,2.8468,170808.0,376567.1807929548
Nicaragua,October,2002/03,2002,2003,978.466,58707960.0,129428896.69866493
Nigeria,October,2002/03,2002,2003,9.815,588900.0,1298302.2620074651
Panama,October,2002/03,2002,2003,84.093,5045580.0,11123599.808353923
Sierra Leone,October,2002/03,2002,2003,36.7289,2203734.0,4858401.828939988
Sri Lanka,October,2002/03,2002,2003,5.3807,322842.0,711744.7764832977
Thailand,October,2002/03,2002,2003,198.6,11916000.0,26270283.1619646
Togo,October,2002/03,2002,2003,77.705,4662300.0,10278612.049851255
Trinidad & Tobago,October,2002/03,2002,2003,2.5524,153144.0,337624.7268005964
Uganda,October,2002/03,2002,2003,2809.948,168596880.0,371692495.62132984
Venezuela,October,2002/03,2002,2003,297.3196,17839176.0,39328650.9647636
Viet Nam,October,2002/03,2002,2003,11555.093,693305580.0,1528477165.522835
Yemen,October,2002/03,2002,2003,56.7446,3404676.0,7506025.72966977
Angola,April,2003/04,2003,2004,13.013,780780.0,1721325.250688043
Bolivia (Plurinational State of),April,2003/04,2003,2004,64.823,3889379.9999999995,8574615.132970951
Brazil,April,2003/04,2003,2004,24909.4093,1494564558.0,3294950834.382046
Burundi,April,2003/04,2003,2004,323.691,19421460.0,42816990.0653549
Ecuador,April,2003/04,2003,2004,627.79,37667400.0,83042402.14627269
Indonesia,April,2003/04,2003,2004,4821.076,289264560.0,637719192.6754867
Madagascar,April,2003/04,2003,2004,122.254,7335240.0,16171436.040698994
Malawi,April,2003/04,2003,2004,47.155,2829300.0,6237538.784000205
Papua New Guinea,April,2003/04,2003,2004,1152.093,69125580.0,152395817.4165019
Paraguay,April,2003/04,2003,2004,33.4951,2009706.0,4430643.3108676765
Peru,April,2003/04,2003,2004,2479.986,148799160.0,328045994.24827766
Rwanda,April,2003/04,2003,2004,267.377,16042620.0,35367922.96574324
Timor-Leste,April,2003/04,2003,2004,41.8233,2509398.0,5532275.598025146
Zimbabwe,April,2003/04,2003,2004,87.649,5258940.0,11593978.09095184
Congo,July,2003/04,2003,2004,0.0,0.0,0.0
Cuba,July,2003/04,2003,2004,29.507,1770420.0,3903107.982175677
Dominican Republic,July,2003/04,2003,2004,77.901,4674060.0,10304538.411884211
Haiti,July,2003/04,2003,2004,33.842,2030520.0,4476530.326118862
Philippines,July,2003/04,2003,2004,17.691,1061460.0,2340118.728188901
Tanzania,July,2003/04,2003,2004,581.333,34879980.0,76897192.95767556
Zambia,July,2003/04,2003,2004,99.733,5983980.0,13192417.676697964
Cameroon,October,2003/04,2003,2004,831.282,49876920.0,109959786.1402027
Central African Republic,October,2003/04,2003,2004,68.276,4096560.0,9031368.847765837
Colombia,October,2003/04,2003,2004,10154.157,609249420.0,1343165053.680992
