country,calendar_year,exports_1k_bags,exports_kg,exports_lb,population_boy,population_mid
Guatemala,1991.0,2831.9850001,169919100.00599998,374607491.75762004,9208719.0,9329556.0
Guinea,1991.0,61.447,3686820.0,8128046.774689017,6492478.0,6615734.0
Guyana,1991.0,0.4219976,25319.856,55820.727319584454,744169.0,744096.0
Haiti,1991.0,150.673,9040380.0,19930626.258120302,6996359.0,7066055.0
Honduras,1991.0,1444.363,86661780.0,191056520.6377879,5123992.0,5196888.0
India,1991.0,1727.3589994,103641539.96399999,228490483.5680052,879699586.0,888941756.0
Indonesia,1991.0,6170.7960001,370247760.006,816256587.3985173,183750635.0,185361228.0
Jamaica,1991.0,16.7049999,1002299.994,2209693.2406525193,2401179.0,2411867.0
Kenya,1991.0,1557.532,93451920.0,206026216.88731647,23552946.0,23918235.0
Lao People's Democratic Republic,1991.0,98.3329992,5899979.9520000005,13007229.270640679,4375366.0,4437224.0
Liberia,1991.0,0.0,0.0,0.0,1877760.0,1939236.0
Madagascar,1991.0,587.658,35259480.0,77733847.24266765,12060191.0,12245260.0
Malawi,1991.0,99.535,5972100.0,13166226.759950384,9697322.0,9831584.0
Mexico,1991.0,3530.8200019,211849200.114,467047538.992152,82540061.0,83351595.0
Nepal,1991.0,0.0,0.0,0.0,19865902.0,20130779.0
Nicaragua,1991.0,392.0529999,23523179.994,51859734.75262175,4277222.0,4327290.0
Nigeria,1991.0,0.922,55320.0,121959.723440742,96465121.0,97685360.0
Panama,1991.0,124.2,7452000.0,16428847.7780262,2476073.0,2502044.0
Papua New Guinea,1991.0,788.3529999,47301179.993999995,104281251.45497103,3921429.0,3990996.0
Paraguay,1991.0,120.0840001,7205040.005999999,15884394.188561859,4113486.0,4167996.0
Peru,1991.0,1041.8670001,62512020.006000005,137815413.44276738,22352826.0,22583006.0
Philippines,1991.0,103.0250002,6181500.012,13627874.763421247,62300699.0,63039751.0
Rwanda,1991.0,473.98,28438800.0,62696821.81826778,7409913.0,7485681.0
Sierra Leone,1991.0,103.821,6229260.0,13733167.513385331,4443309.0,4378170.0
Sri Lanka,1991.0,22.168,1330080.0,2932324.456870248,17312263.0,17416596.0
Tanzania,1991.0,871.3299987,52279799.922,115257229.57383306,26546547.0,26890906.0
Thailand,1991.0,540.937,32456220.0,71553716.83174041,55683059.0,56099865.0
Timor-Leste,1991.0,0.0,0.0,0.0,767206.0,772656.0
Togo,1991.0,154.834,9290040.0,20481032.341891374,3932642.0,3990215.0
Trinidad & Tobago,1991.0,7.6719977,460319.862,1014831.5810520703,1271399.0,1276224.0
Uganda,1991.0,2095.093,125705579.99999999,277133365.3607749,17868683.0,18171935.0
Venezuela,1991.0,127.889,7673340.0,16916818.94914648,19988358.0,20226214.0
Viet Nam,1991.0,1200.952,72057120.0,158858756.81736007,67633268.0,68358820.0
Yemen,1991.0,71.6669969,4300019.814,9479920.95634763,13631154.0,13895851.0
Zambia,1991.0,29.198,1751880.0,3862234.278766578,7783547.0,7880466.0
Zimbabwe,1991.0,239.324,14359440.0,31657146.261097763,10246787.0,10377815.0
Angola,1992.0,80.25,4815000.0,10615257.92420775,12431629.0,12632507.0
Bolivia (Plurinational State of),1992.0,96.2040001,5772240.006,12725610.89597518,7319556.0,7394419.0
Brazil,1992.0,18790.7192021,1127443152.1260002,2485586678.0268507,154630650.0,155900790.0
Burundi,1992.0,645.858,38751480.0,85432389.43816784,5650235.0,5743085.0
Cameroon,1992.0,1645.851,98751060.0,217708820.80766666,11951455.0,12128604.0
Central African Republic,1992.0,99.975,5998500.0,13224428.797167225,2943467.0,2991728.0
Colombia,1992.0,16564.3700008,993862200.0480001,2191091089.2274313,33601235.0,33939039.0
